rate_scenario,adoption_scenario,n,median_payback_yrs,mean_payback_yrs,pct_under_15yrs,pct_never_payback
F0_WF0_ROE0,S1:EV,515,18.1459409140904,22.351616440548295,40.3883495145631,0.0
F0_WF0_ROE0,S2:PV+Stor,731,16.210659401948067,19.079373123757456,44.73324213406293,0.0
F0_WF0_ROE0,S3:Full(pre),368,35.85621670763949,35.251115479540964,4.3478260869565215,7.304785894206549
F0_WF0_ROE0,S4:Full(post),385,36.47514970320217,35.586044700593234,4.415584415584416,3.022670025188917
F50_WF0_ROE0,S1:EV,515,14.067561933412751,18.184732727694403,53.20388349514563,0.0
F50_WF0_ROE0,S2:PV+Stor,731,18.339579524475493,21.14944117870309,37.61969904240766,0.0
F50_WF0_ROE0,S3:Full(pre),373,37.90597373971356,36.622870064699285,3.2171581769436997,6.045340050377834
F50_WF0_ROE0,S4:Full(post),388,38.23416010055127,36.869367955963845,3.0927835051546393,2.2670025188916876
F100_WF0_ROE0,S1:EV,515,11.670097151885818,15.404361782292112,63.883495145631066,0.0
F100_WF0_ROE0,S2:PV+Stor,731,21.13496551541915,23.784418278901374,25.85499316005472,0.0
F100_WF0_ROE0,S3:Full(pre),374,41.09042253089039,38.086590473579534,2.406417112299465,5.793450881612091
F100_WF0_ROE0,S4:Full(post),391,41.919108732577925,38.39262136735234,2.0460358056265986,1.5113350125944585
F0_WF1_ROE0,S1:EV,515,15.206562746709029,19.28100292585888,49.70873786407767,0.0
F0_WF1_ROE0,S2:PV+Stor,731,17.625465429011612,20.45085177160898,40.21887824897401,0.0
F0_WF1_ROE0,S3:Full(pre),372,36.75022328436878,36.19295179668043,3.494623655913978,6.297229219143577
F0_WF1_ROE0,S4:Full(post),386,37.40181233805956,36.40234451020149,3.3678756476683938,2.770780856423174
F50_WF1_ROE1.0,S1:EV,515,12.05132062264464,15.8713195236056,62.13592233009708,0.0
F50_WF1_ROE1.0,S2:PV+Stor,731,20.523744295785153,23.23045250651811,28.317373461012313,0.0
F50_WF1_ROE1.0,S3:Full(pre),374,40.5867755672808,37.794238365546406,2.941176470588235,5.793450881612091
F50_WF1_ROE1.0,S4:Full(post),388,40.97732064261265,38.014262952098285,2.8350515463917527,2.2670025188916876
